"grdc_no","wmo_reg","sub_reg","river","station","country","lat","lon","area","altitude","d_start","d_end","d_yrs","d_miss","m_start","m_end","m_yrs","m_miss","t_start","t_end","t_yrs","lta_discharge","r_volume_yr","r_height_yr","miss"
1134150,1,1341,"BANIFING","KOLONDIEBA","ML",11.07,-6.85,3050,-999,1972,1992,21,60.22682831,1972,1992,21,58.73015873,1972,1992,21,"7.169","0.226081584","74.12510951",91.06
1134200,1,1341,"BAOULE","DIOILA","ML",12.52,-6.8,32500,-999,1953,1992,40,31.50334922,1953,1990,38,8.203991131,1953,1992,40,"164.773","5.196281328","159.8855793",68.29
1134220,1,1341,"BAGOE","PANKOUROU","ML",11.42,-6.57,31800,-999,1956,1992,37,31.63295657,1956,1992,37,3.189066059,1956,1992,37,"190.462","6.006409632","188.880806",68.29
1134250,1,1341,"NIGER, RIVER","KIRANGO AVAL","ML",13.7167,-6.05,137000,274,1925,2001,77,34.24082643,1925,2012,88,34.83253589,1925,2012,88,"1313.736","41.4299785","302.4086022",50.61
1134300,1,1341,"BANI","DOUNA","ML",13.2167,-5.9,101600,270,1922,2001,80,24.84837983,1922,2007,86,35.18518519,1922,2007,86,"435.195","13.72430952","135.0817866",47.15
1134310,1,1341,"BANIFING","KOUORO 2","ML",12.02,-6.68,14300,-999,1975,1990,16,61.86784141,1975,1990,16,61.82795699,1975,1990,16,"15.584","0.491457024","34.36762406",93.5
1134350,1,1341,"LOTIO","KLELA","ML",11.68,-5.58,3685,-999,1976,1979,4,33.25320513,1976,1979,4,31.70731707,1976,1979,4,"11.686","0.368529696","100.0080586",97.56
1134400,1,1341,"NIGER, RIVER","KE-MACINA","ML",13.95,-5.37,141000,-999,1953,1992,40,32.49828884,1953,1992,40,33.125,1953,1992,40,"1348.439","42.5243723","301.5912929",85.37
1134450,1,1341,"BANI","BENENY-KEGNY","ML",13.38,-4.92,116000,-999,1951,1992,42,44.79524439,1951,2012,62,60.32831737,1951,2012,62,"529.481","16.69771282","143.9458001",85.37
1134460,1,1341,"NIGER, RIVER","TILEMBEYA","ML",14.15,-4.98,143300,-999,1922,1992,71,53.38094868,1922,1992,71,53.30969267,1922,1992,71,"876.792","27.65051251","192.9554258",92.68
1134480,1,1341,"BANI","SOFARA","ML",14.02,-4.25,129000,-999,1952,1992,41,26.26869658,1952,1994,43,24.31372549,1952,1994,43,"368.55","11.6225928","90.0976186",81.3
1134500,1,1341,"NIGER, RIVER","NANTAKA (MOPTI)","ML",14.53,-4.22,281600,260,1922,2001,80,28.61087144,1922,2012,91,47.03703704,1922,2012,91,"994.606","31.36589482","111.3845697",46.54
1134700,1,1341,"NIGER, RIVER","DIRE","ML",16.2667,-3.3833,340000,256,1924,2003,80,6.971252567,1924,2012,89,18.56738926,1924,2012,89,"1009.784","31.84454822","93.66043595",38.41
1134730,1,1341,"NIGER, RIVER","KORYOUME","ML",16.6666,-3.0333,342000,256,1963,2001,39,24.15970962,1963,1992,30,62.32294618,1963,2001,39,"680.158","21.44946269","62.71772716",48.98
1134850,1,1341,"NIGER, RIVER","TOSSAYE","ML",16.93,-0.58,348000,-999,1954,1992,39,33.26238116,1954,1992,39,32.61339093,1954,1992,39,"1058.956","33.39523642","95.96332303",87.8
1134900,1,1341,"NIGER, RIVER","ANSONGO","ML",15.6667,0.5,566000,242,1951,2001,51,24.00835073,1951,2012,62,36.53846154,1951,2012,62,"879.883","27.74799029","49.02471782",47.15
1147010,1,1471,"CONGO RIVER","KINSHASA","CD",-4.3,15.3,3475000,-999,1903,2010,108,0.038025705,1903,1983,81,0,1903,2010,108,"39863.659","1257.14035","361.7670073",21.95
1159100,1,1591,"ORANGE RIVER","VIOOLSDRIF (27811003)","ZA",-28.757778,17.721389,866486,152,1935,2020,86,2.645400354,1935,2001,67,1.637279597,1935,2020,86,"243.994","7.694594784","8.880229783",0
1159103,1,1591,"ORANGE RIVER","PELLA MISSION","ZA",-28.96340283,19.15192169,859920,-999,1979,2020,42,6.196109886,NA,NA,NA,NA,1979,2020,42,"115.92","3.65565312","4.251154898",11.38
1159105,1,1591,"ORANGE RIVER","SENDELINGSDRIF","ZA",-28.07583,16.89833,985370,-999,2014,2020,7,0,NA,NA,NA,NA,2014,2020,7,"35.85","1.1305656","1.14735135",86.38
1159125,1,1591,"RENOSTERRIVIER","LEEUWENKUIL","ZA",-31.43716033,20.47416897,8938,-999,1987,2020,34,17.41628365,NA,NA,NA,NA,1987,2020,34,"0.503","0.015862608","1.774737973",35.37
